name,mass,charge,sigma,lambda
ALA,71.08,0,0.504,0.6030114722753346
ARG,156.2,1,0.656,0.5587954110898662
ASN,114.1,0,0.568,0.5881931166347992
ASP,115.1,-1,0.558,0.29421606118546845
CYS,103.1,0,0.548,0.6469885277246653
GLN,128.1,0,0.602,0.5587954110898662
GLU,129.1,-1,0.592,0.0
GLY,57.05,0,0.45,0.5736137667304014
HIS,137.1,0,0.608,0.7648183556405354
ILE,113.2,0,0.618,0.7057839388145315
LEU,113.2,0,0.618,0.720602294455067
LYS,128.2,1,0.636,0.3824091778202677
MET,131.2,0,0.618,0.6763862332695985
PHE,147.2,0,0.636,0.8236137667304015
PRO,97.12,0,0.556,0.7588432122370936
SER,87.08,0,0.518,0.5881931166347992
THR,101.1,0,0.562,0.5881931166347992
TRP,186.2,0,0.678,1.0
TYR,163.2,0,0.646,0.8969885277246654
VAL,99.07,0,0.586,0.6646749521988528
